"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Bahamas","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.652,,"Frequency: Monthly",
"Bahamas","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.075,,"Frequency: Monthly",
"Bosnia and Herzegovina","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.761,,"Frequency: Monthly",
"Bosnia and Herzegovina","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.288,,"Frequency: Monthly",
"Belarus","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M07",3.51,,"Frequency: Monthly",
"Belarus","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011M07",3.83,,"Frequency: Monthly",
"Belize","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.386,,"Frequency: Monthly",
"Bermuda","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.48,,"Frequency: Monthly",
"Bermuda","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.738,,"Frequency: Monthly",
"Bolivia (Plurinational State of)","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.841,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Bolivia (Plurinational State of)","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.17,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Brazil","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.78,,"Frequency: Monthly",
"Brazil","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.08,"Nonstandard COICOP classification: Food and beverages","Frequency: Monthly",
"Barbados","CPS - Index of Retail Prices","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.639,,"Frequency: Monthly",
"Barbados","CPS - Index of Retail Prices","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.38,,"Frequency: Monthly",
"Brunei Darussalam","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.598,,"Frequency: Monthly",
"Brunei Darussalam","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.1,,"Frequency: Monthly",
"Bhutan","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.236,,"Frequency: Monthly",
"Botswana","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.224,,"Frequency: Monthly",
"Botswana","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.153,,"Frequency: Monthly",
"Central African Republic","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M06",6.462,"Nonstandard COICOP classification: Excluding rents","Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Central African Republic","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M06",10.589,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Canada","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.718,,"Frequency: Monthly",
"Canada","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.365,,"Frequency: Monthly",
"Switzerland","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.504,,"Frequency: Monthly",
"Switzerland","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.404,,"Frequency: Monthly",
"Chile","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.412,,"Frequency: Monthly",
"Chile","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.569,,"Frequency: Monthly",
"Côte d'Ivoire","CPS - Consumer Price Index, Africans","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M09",-0.978,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Côte d'Ivoire","CPS - Consumer Price Index, Africans","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M09",-3.522,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Cameroon","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.37,,"Frequency: Monthly",
"Cameroon","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.46,,"Frequency: Monthly",
"Congo, Democratic Republic of the","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.054,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Congo, Democratic Republic of the","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.056,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Congo","CPS - Consumer Price Index, Africans","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M05",-0.36,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Congo","CPS - Consumer Price Index, Africans","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M05",-0.6,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M11",0.997,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M11",0.996,"Nonstandard COICOP classification: Food","Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Colombia","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.202,,"Frequency: Monthly","Population coverage: Low income group"
"Colombia","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.369,,"Frequency: Monthly","Population coverage: Low income group"
"Cabo Verde","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.167,,"Frequency: Monthly",
"Cabo Verde","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.567,,"Frequency: Monthly",
"Costa Rica","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.214,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Costa Rica","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.085,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Cuba","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2008M12",-0.959,,"Frequency: Monthly",
"Cuba","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2008M12",-1.184,"Nonstandard COICOP classification: Food and beverages","Frequency: Monthly",
"Cyprus","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-1.598,,"Frequency: Monthly",
"Cyprus","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-2.744,,"Frequency: Monthly",
"Czechia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.073,,"Frequency: Monthly",
"Czechia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.219,,"Frequency: Monthly",
"Germany","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.361,,"Frequency: Monthly",
"Dominica","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2008M12",-1.58,,"Frequency: Monthly",
"Dominica","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2008M12",0.281,,"Frequency: Monthly",
"Denmark","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.23,,"Frequency: Monthly",
"Denmark","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.15,,"Frequency: Monthly",
"Dominican Republic","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.698,,"Frequency: Monthly",
"Dominican Republic","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.043,,"Frequency: Monthly",
"Algeria","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-1.156,,"Frequency: Monthly",
"Algeria","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-2.433,,"Frequency: Monthly",
"Ecuador","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.113,,"Frequency: Monthly",
"Ecuador","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.135,,"Frequency: Monthly",
"Egypt","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.078,,"Frequency: Monthly",
"Egypt","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.326,,"Frequency: Monthly",
"Spain","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.583,,"Frequency: Monthly",
"Spain","CPS - Consumer Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.051,,"Frequency: Monthly",
"Estonia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.518,,"Frequency: Monthly",
"Ethiopia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.076,,"Frequency: Monthly",
"Ethiopia","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.689,,"Frequency: Monthly",
"Finland","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.128,,"Frequency: Monthly",
"Finland","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.29,,"Frequency: Monthly",
"Fiji","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.651,,"Frequency: Monthly",
"Fiji","CPS - Consumer Price Survey","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.076,,"Frequency: Monthly",
"Falkland Islands, Malvinas","CPS - Retail Price Index","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2003M02",1.025,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"France","CPS - Consumer Price Index for Urban Households","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.086,,"Frequency: Monthly",
"France","CPS - Consumer Price Index for Urban Households","National consumer price index (CPI), monthly rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.076,,"Frequency: Monthly",
