"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2024",2350.024,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: U.S. dollars","2024",957.365,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: Local currency","2024",1578.758,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: 2021 PPP $","2024",2143.96,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Female","Currency: U.S. dollars","2024",873.418,,,"Currency: BIH - Marka (BAM)","Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: Local currency","2020",1020,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: 2021 PPP $","2020",861.13,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Total","Currency: U.S. dollars","2020",510,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: Local currency","2020",1020,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
"Belize","LFS - Labour Force Survey","Average monthly earnings of employees by sex and currency","Male","Currency: 2021 PPP $","2020",861.13,,,"Central tendency measure: Median | Value type: Nominal values | Accounting concept: Gross | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: BLZ - Belize dollar (BZD)","Employment definition: Excluding own-use production workers | Data reference period: September | Population coverage: Excluding institutional population"
