"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",41.14,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",41.27,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",40.92,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belarus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",39.17,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",39.91,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belarus","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",38.4,,,"Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 74 years old"
"Belize","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2019",42.4,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2019",44.31,,,"Repository: ILO-STATISTICS - Micro data processing"
"Belize","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2019",39.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2024",39.58,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2024",42.52,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bolivia (Plurinational State of)","LFS - Continuous Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2024",35.72,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Mean weekly hours actually worked per employee by sex","Total","2025",39.36,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Mean weekly hours actually worked per employee by sex","Male","2025",40.97,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brazil","HS - Continuous National Household Sample Survey","Mean weekly hours actually worked per employee by sex","Female","2025",37.51,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",47.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",48.18,,,"Repository: ILO-STATISTICS - Micro data processing"
"Brunei Darussalam","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",46.38,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2022",53.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2022",54.36,,,"Repository: ILO-STATISTICS - Micro data processing"
"Bhutan","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2022",50.47,,,"Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Mean weekly hours actually worked per employee by sex","Total","2024",44.94,,,"Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Mean weekly hours actually worked per employee by sex","Male","2024",48.12,,,"Repository: ILO-STATISTICS - Micro data processing"
"Botswana","HS - Multi-Topic Household Survey","Mean weekly hours actually worked per employee by sex","Female","2024",42.16,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2025",34.74,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2025",36.85,,,"Repository: ILO-STATISTICS - Micro data processing"
"Canada","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2025",32.41,,,"Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Total","2024",35.34,,,"Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Male","2024",39.23,,,"Repository: ILO-STATISTICS - Micro data processing"
"Switzerland","LFS - Labour Force Survey","Mean weekly hours actually worked per employee by sex","Female","2024",31.05,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","Mean weekly hours actually worked per employee by sex","Total","2025",40.59,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","Mean weekly hours actually worked per employee by sex","Male","2025",41.83,,,"Repository: ILO-STATISTICS - Micro data processing"
"Chile","LFS - National Employment Survey","Mean weekly hours actually worked per employee by sex","Female","2025",38.93,,,"Repository: ILO-STATISTICS - Micro data processing"
"Côte d'Ivoire","LFS - National Survey on the Employment Situation","Mean weekly hours actually worked per employee by sex","Total","2019",44.95,,,"Repository: ILO-STATISTICS - Micro data processing"
