"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 9. Elementary occupations","2010",1351,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): 0. Armed forces occupations","2010",5900,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Aruba","PC - Population and Housing Census","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (ISCO-08): X. Not elsewhere classified","2010",1749,,,"Job coverage: Main job currently held | Working time concept: Hours actually worked | Currency: ABW - Florin (AWG)","Data reference period: September"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Total","2020",13202.245,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",13620.133,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Skill level 2 ~ medium","2020",12146.467,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Skill level 1 ~ low","2020",8590.348,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (Skill level): Not elsewhere classified","2020",15827.341,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Total","2020",13439.387,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",14656.272,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Skill level 2 ~ medium","2020",12058.756,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Skill level 1 ~ low","2020",8683.031,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (Skill level): Not elsewhere classified","2020",15704.932,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Total","2020",10843.294,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",9609.784,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Skill level 2 ~ medium","2020",14175.225,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Skill level 1 ~ low","2020",7671.735,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Female","Occupation (Skill level): Not elsewhere classified","2020",26590.542,"Unreliable",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): Total","2020",13202.245,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 1. Managers","2020",18338.642,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 2. Professionals","2020",12435.43,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2020",12796.383,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 4. Clerical support workers","2020",16089.26,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 5. Service and sales workers","2020",11059.446,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2020",10631.834,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 7. Craft and related trades workers","2020",8627.887,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2020",12834.882,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 9. Elementary occupations","2020",8590.348,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): 0. Armed forces occupations","2020",15355.744,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Total","Occupation (ISCO-08): X. Not elsewhere classified","2020",23319.087,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): Total","2020",13439.387,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 1. Managers","2020",18526.056,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 2. Professionals","2020",13762.686,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 3. Technicians and associate professionals","2020",12530.127,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 4. Clerical support workers","2020",16100.948,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 5. Service and sales workers","2020",10902.62,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation (local currency)","Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2020",10765.238,"Break in series",,"Currency: AFG - Afghani (AFN) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
