"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2024",5.934,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): 9. Elementary occupations","2024",-6.538,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Gender wage gap by occupation (%)","Occupation (ISCO-08): X. Not elsewhere classified","2024",-5.7,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (Skill level): Total","2017",21.382,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (Skill level): Skill levels 3 and 4 ~ high","2017",29.059,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (Skill level): Skill level 2 ~ medium","2017",29.269,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (Skill level): Skill level 1 ~ low","2017",15.774,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): Total","2017",21.382,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 1. Managers","2017",-5.224,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 2. Professionals","2017",27.97,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 3. Technicians and associate professionals","2017",38.056,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 4. Clerical support workers","2017",23.755,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 5. Service and sales workers","2017",31.906,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2017",0.523,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 7. Craft and related trades workers","2017",31.107,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Gender wage gap by occupation (%)","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2017",17.254,,,"Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
