"ref_area.label","source.label","indicator.label","time","obs_value","note_indicator.label","note_source.label"
"Spain","Other - Other Official Sources","Statutory nominal gross monthly minimum wage (local currency)","2025",1381,"Type of minimum wage: Singular national minimum wage | Currency: ESP - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Estonia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",886,"Type of minimum wage: Singular national minimum wage | Currency: EST - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Ethiopia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2011",420,"Currency: ETH - Birr (ETB)","Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Institutional sector coverage: Public sector only"
"Fiji","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",935.28,"Type of minimum wage: National floor | Currency: FJI - Fijian dollar (FJD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"France","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1802,"Type of minimum wage: Singular national minimum wage | Currency: FRA - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Gabon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",150000,"Type of minimum wage: Singular national minimum wage | Currency: GAB - Central African CFA franc (XAF)",
"United Kingdom of Great Britain and Northern Ireland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1981.4,"Type of minimum wage: National floor | Currency: GBR - British pound (GBP) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Georgia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",20,"Currency: GEO - Lari (GEL)","Institutional sector coverage: Private sector only"
"Ghana","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",471.53,"Type of minimum wage: Singular national minimum wage | Currency: GHA - Cedi (GHS) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Guinea","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",550000,"Type of minimum wage: Singular national minimum wage | Currency: GIN - Guinean franc (GNF)",
"Gambia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1300,"Type of minimum wage: Singular national minimum wage | Currency: GMB - Dalasi (GMD) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Guinea-Bissau","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",19030,"Type of minimum wage: Singular national minimum wage | Currency: GNB - West African CFA franc (XOF)",
"Equatorial Guinea","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2023",117304,"Type of minimum wage: Singular national minimum wage | Currency: GNQ - Central African CFA franc (XAF)",
"Greece","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1027,"Type of minimum wage: Singular national minimum wage | Currency: GRC - Euro (EUR)","Repository: Eurostat | Data reference period: July | Institutional sector coverage: Private sector only"
"Grenada","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1200,"Type of minimum wage: Sectoral (manufacturing) | Currency: GRD - East Caribbean dollar (XCD) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Guatemala","OE - Official Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",3343.01,"Type of minimum wage: Sectoral (manufacturing) | Currency: GTM - Quetzal (GTQ)",
"Guyana","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",60147,"Type of minimum wage: Singular national minimum wage | Currency: GUY - Guyanese dollar (GYD)",
"Hong Kong, China","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",40,"Type of minimum wage: Sectoral | Time unit: Per hour | Currency: HKG - Hong Kong dollar (HKD)","Data reference period: End of the year | Geographical coverage: Government controlled areas | Reference group coverage: Employees"
"Honduras","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",11507.77,"Type of minimum wage: Sectoral (manufacturing) | Currency: HND - Lempira (HNL)",
"Croatia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",970,"Type of minimum wage: Singular national minimum wage | Currency: HRV - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Haiti","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",17810,"Type of minimum wage: Sectoral | Currency: HTI - Gourde (HTG) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Hungary","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",290800,"Type of minimum wage: Singular national minimum wage | Currency: HUN - Forint (HUF)","Repository: Eurostat | Data reference period: July"
"Indonesia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",5067381,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: IDN - Indonesian rupiah (IDR)",
"India","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",4628,"Type of minimum wage: National floor | Currency: IND - Indian rupee (INR) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Ireland","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",2282,"Type of minimum wage: Singular national minimum wage | Currency: IRL - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Iran (Islamic Republic of)","Other - Annual Review","Statutory nominal gross monthly minimum wage (local currency)","2024",53073300,"Type of minimum wage: Singular national minimum wage | Currency: IRN - Iranian rial (IRR)",
"Iraq","OE - Official Estimates","Statutory nominal gross monthly minimum wage (local currency)","2024",350000,"Type of minimum wage: Occupational (unskilled workers) | Currency: IRQ - Iraqi dinar (IQD)",
"Iceland","ADM-CA - Collective agreement between the Confedration of Employers and the Confederation of Labour","Statutory nominal gross monthly minimum wage (local currency)","2024",425985,"Type of minimum wage: Sectoral | Currency: ISL - Icelandic króna (ISK)","Economic activity coverage: Excluding agriculture"
"Israel","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",5880.02,"Type of minimum wage: Singular national minimum wage | Currency: ISR - New Shekel (ILS)",
"Jamaica","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",64950,"Type of minimum wage: National floor | Currency: JAM - Jamaican dollar (JMD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Jersey","ADM - Records of the Social Security Department","Statutory nominal gross monthly minimum wage (local currency)","2016",6.97,"Type of minimum wage: Singular national minimum wage | Time unit: Per hour | Value type: Real values | Currency: JEY - Jersey pound (JEP)","Data reference period: December"
"Jordan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",260,"Type of minimum wage: National floor | Currency: JOR - Jordanian dinar (JOD)",
"Japan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",182726,"Type of minimum wage: Regional | Currency: JPN - Yen (JPY) | ILO calculation: Hourly figure multiplied by 40 hours and 4.33 weeks",
"Kazakhstan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",85000,"Type of minimum wage: Singular national minimum wage | Currency: KAZ - Tenge (KZT)",
"Kenya","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",16033.14,"Type of minimum wage: Occupational | Currency: KEN - Kenyan shilling (KES)","Geographical coverage: Mavoko & Riuru & Limuru"
"Kyrgyzstan","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",2534,"Type of minimum wage: Singular national minimum wage | Currency: KGZ - Kyrgyzstani som (KGS)",
"Cambodia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",200,"Type of minimum wage: Singular national minimum wage | Currency: KHM - Riel (KHR)",
"Kiribati","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",270.4,"Currency: KIR - Australian dollar (AUD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Saint Kitts and Nevis","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",1560,"Type of minimum wage: Singular national minimum wage | Currency: KNA - East Caribbean dollar (XCD) | ILO calculation: Weekly figure multiplied by 4.33 weeks",
"Republic of Korea","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",2060740,"Type of minimum wage: Singular national minimum wage | Currency: KOR - South Korean won (KRW)",
"Kuwait","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",75,"Type of minimum wage: Sectoral (private and oil sectors) | Currency: KWT - Kuwaiti dinar (KWD)",
"Lao People's Democratic Republic","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1600000,"Type of minimum wage: Singular national minimum wage | Currency: LAO - Kip (LAK)",
"Lebanon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",18000000,"Type of minimum wage: Singular national minimum wage | Currency: LBN - Lebanese pound (LBP)",
"Liberia","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage (local currency)","2024",91,"Type of minimum wage: Occupational (unskilled workers) | Currency: LBR - United States dollar (USD) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Libya","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1000,"Type of minimum wage: Singular national minimum wage | Currency: LBY - Libyan dinar (LYD)",
"Sri Lanka","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",17500,"Type of minimum wage: Singular national minimum wage | Currency: LKA - Sri Lankan rupee (LKR)",
"Lesotho","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2024",1881,"Type of minimum wage: National floor | Currency: LSO - Loti (LSL)",
"Lithuania","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",1038,"Type of minimum wage: Singular national minimum wage | Currency: LTU - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Luxembourg","ADM - Labour legislation","Statutory nominal gross monthly minimum wage (local currency)","2025",2704,"Type of minimum wage: Singular national minimum wage | Currency: LUX - Euro (EUR)","Repository: Eurostat | Data reference period: July"
