"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_classif.label","note_indicator.label","note_source.label"
"Bahamas","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.019,,"Frequency: Monthly",
"Bosnia and Herzegovina","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.477,,"Frequency: Monthly",
"Bosnia and Herzegovina","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.764,,"Frequency: Monthly",
"Belarus","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2011M07",48.402,,"Frequency: Monthly",
"Belarus","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2011M07",58.148,,"Frequency: Monthly",
"Belize","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.29,,"Frequency: Monthly",
"Belize","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-1.295,,"Frequency: Monthly",
"Bermuda","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.552,,"Frequency: Monthly",
"Bermuda","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",3.941,,"Frequency: Monthly",
"Bolivia (Plurinational State of)","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",5.198,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Bolivia (Plurinational State of)","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",6.905,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Brazil","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",6.407,,"Frequency: Monthly",
"Brazil","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",8.031,"Nonstandard COICOP classification: Food and beverages","Frequency: Monthly",
"Barbados","CPS - Index of Retail Prices","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",2.271,,"Frequency: Monthly",
"Barbados","CPS - Index of Retail Prices","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",2.953,,"Frequency: Monthly",
"Brunei Darussalam","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.295,,"Frequency: Monthly",
"Brunei Darussalam","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.4,,"Frequency: Monthly",
"Bhutan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",6.385,,"Frequency: Monthly",
"Bhutan","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",5.109,,"Frequency: Monthly",
"Botswana","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",3.727,,"Frequency: Monthly",
"Botswana","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",2.56,,"Frequency: Monthly",
"Central African Republic","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M06",25.57,"Nonstandard COICOP classification: Excluding rents","Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Central African Republic","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M06",38.516,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Canada","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.467,,"Frequency: Monthly",
"Canada","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",3.698,,"Frequency: Monthly",
"Switzerland","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.303,,"Frequency: Monthly",
"Switzerland","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.203,,"Frequency: Monthly",
"Chile","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2013M12",3.011,,"Frequency: Monthly",
"Chile","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2013M12",4.939,,"Frequency: Monthly",
"China","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.53,,"Frequency: Monthly",
"China","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",2.928,,"Frequency: Monthly",
"Côte d'Ivoire","CPS - Consumer Price Index, Africans","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M09",0.09,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Côte d'Ivoire","CPS - Consumer Price Index, Africans","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M09",-3.125,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Cameroon","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",3.923,,"Frequency: Monthly",
"Cameroon","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",0.275,,"Frequency: Monthly",
"Congo, Democratic Republic of the","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.03,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Congo, Democratic Republic of the","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",1.179,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Congo","CPS - Consumer Price Index, Africans","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M05",-2.186,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area | Population coverage: Africans"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M11",2.593,,"Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Cook Islands","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M11",2.732,"Nonstandard COICOP classification: Food","Frequency: Monthly","Geographical coverage: Main city or metropolitan area"
"Colombia","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",3.779,,"Frequency: Monthly","Population coverage: Low income group"
"Colombia","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",4.941,,"Frequency: Monthly","Population coverage: Low income group"
"Cabo Verde","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-0.415,,"Frequency: Monthly",
"Cabo Verde","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.241,,"Frequency: Monthly",
"Costa Rica","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",5.127,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Costa Rica","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",6.331,,"Frequency: Monthly","Geographical coverage: Urban areas only"
"Cuba","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2008M12",-0.081,,"Frequency: Monthly",
"Cuba","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2008M12",-0.635,"Nonstandard COICOP classification: Food and beverages","Frequency: Monthly",
"Cyprus","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",-1.464,,"Frequency: Monthly",
"Cyprus","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-2.247,,"Frequency: Monthly",
"Czechia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.073,,"Frequency: Monthly",
"Czechia","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.435,,"Frequency: Monthly",
"Germany","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.188,,"Frequency: Monthly",
"Germany","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.626,,"Frequency: Monthly",
"Dominica","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2008M12",1.99,,"Frequency: Monthly",
"Dominica","CPS - Retail Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2008M12",8.753,,"Frequency: Monthly",
"Denmark","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",0.308,,"Frequency: Monthly",
"Denmark","CPS - Consumer Price Survey","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: 1. Food and non-alcoholic beverages","2014M12",-0.669,,"Frequency: Monthly",
"Dominican Republic","CPS - Consumer Price Index","National consumer price index (CPI), annual rate of change (%) - discontinued","COICOP2018: General - Individual consumption expenditure of households","2014M12",1.582,,"Frequency: Monthly",
