"ref_area.label","source.label","indicator.label","sex.label","time","obs_value","obs_status.label","note_indicator.label","note_source.label"
"Comoros","LFS - National Survey on Employment and the Informal Sector","Gini index of hourly earnings of employees by sex","Female","2021",0.668,,"Currency: COM - Comorian franc (KMF)","Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.352,,"Currency: CRI - Colon (CRC)","Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.331,,"Currency: CRI - Colon (CRC)","Repository: ILO-STATISTICS - Micro data processing"
"Costa Rica","LFS - Continuous Employment Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.374,,"Currency: CRI - Colon (CRC)","Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.392,,"Currency: DOM - Dominican peso (DOP)","Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.377,,"Currency: DOM - Dominican peso (DOP)","Repository: ILO-STATISTICS - Micro data processing"
"Dominican Republic","LFS - Continuous National Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.406,,"Currency: DOM - Dominican peso (DOP)","Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Gini index of hourly earnings of employees by sex","Total","2025",0.322,,"Currency: ECU - United States dollar (USD)","Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Gini index of hourly earnings of employees by sex","Male","2025",0.31,,"Currency: ECU - United States dollar (USD)","Repository: ILO-STATISTICS - Micro data processing"
"Ecuador","LFS - National Survey on Employment, Unemployment and Underemployment","Gini index of hourly earnings of employees by sex","Female","2025",0.34,,"Currency: ECU - United States dollar (USD)","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.407,"Break in series","Currency: EGY - Egyptian pound (EGP) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.4,"Break in series","Currency: EGY - Egyptian pound (EGP) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Egypt","LFS - Labour Force Sample Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.444,"Break in series","Currency: EGY - Egyptian pound (EGP) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Gini index of hourly earnings of employees by sex","Total","2021",0.505,,"Currency: ETH - Birr (ETB)","Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Gini index of hourly earnings of employees by sex","Male","2021",0.494,,"Currency: ETH - Birr (ETB)","Repository: ILO-STATISTICS - Micro data processing"
"Ethiopia","LFS - National Labor Force Survey","Gini index of hourly earnings of employees by sex","Female","2021",0.52,,"Currency: ETH - Birr (ETB)","Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.385,,"Currency: FJI - Fijian dollar (FJD)","Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.387,,"Currency: FJI - Fijian dollar (FJD)","Repository: ILO-STATISTICS - Micro data processing"
"Fiji","LFS - Employment, Unemployment Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.381,,"Currency: FJI - Fijian dollar (FJD)","Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.308,,"Currency: FRA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.302,,"Currency: FRA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"France","LFS - Employment Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.313,,"Currency: FRA - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2025",0.314,,"Currency: GBR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2025",0.321,,"Currency: GBR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"United Kingdom of Great Britain and Northern Ireland","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2025",0.301,,"Currency: GBR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Gini index of hourly earnings of employees by sex","Total","2024",0.542,,"Currency: GHA - Cedi (GHS)","Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Gini index of hourly earnings of employees by sex","Male","2024",0.538,,"Currency: GHA - Cedi (GHS)","Repository: ILO-STATISTICS - Micro data processing"
"Ghana","HIES - Household Income and Expenditure Survey","Gini index of hourly earnings of employees by sex","Female","2024",0.543,,"Currency: GHA - Cedi (GHS)","Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2018",0.393,"Break in series","Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2018",0.41,"Break in series","Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Gambia","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2018",0.351,"Break in series","Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Total","2020",0.266,,"Currency: GRC - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Male","2020",0.257,,"Currency: GRC - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
"Greece","LFS - Labour Force Survey","Gini index of hourly earnings of employees by sex","Female","2020",0.276,,"Currency: GRC - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing"
