"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Chile","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",500000,"Type of minimum wage: For adults | Currency: CHL - Chilean peso (CLP)",
"Chile","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1075.556,"Type of minimum wage: For adults | Currency: CHL - Chilean peso (CLP)",
"Chile","ILO - SIALC Estimates","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",529.901,"Type of minimum wage: For adults | Currency: CHL - Chilean peso (CLP)",
"China","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1930,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CHN - Yuan (CNY)",
"China","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",543.541,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CHN - Yuan (CNY)",
"China","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",268.149,"Type of minimum wage: Regional | Central tendency measure: Median | Currency: CHN - Yuan (CNY)",
"Côte d'Ivoire","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",75000,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CIV - West African CFA franc (XOF)",
"Côte d'Ivoire","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",320.344,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CIV - West African CFA franc (XOF)",
"Côte d'Ivoire","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",123.692,"Type of minimum wage: Rate of the SMIG when SMIG/SMAG system | Currency: CIV - West African CFA franc (XOF)",
"Cameroon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",43969,"Type of minimum wage: Singular national minimum wage | Currency: CMR - Central African CFA franc (XAF)",
"Cameroon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",211.815,"Type of minimum wage: Singular national minimum wage | Currency: CMR - Central African CFA franc (XAF)",
"Cameroon","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",72.515,"Type of minimum wage: Singular national minimum wage | Currency: CMR - Central African CFA franc (XAF)",
"Congo, Democratic Republic of the","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",183950,"Type of minimum wage: Singular national minimum wage | Currency: COD - Congolese franc (CDF) | ILO calculation: Daily figure multiplied by 6 days and 4.33 weeks",
"Congo","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",120000,"Type of minimum wage: Singular national minimum wage | Currency: COG - Central African CFA franc (XAF)",
"Congo","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",517.381,"Type of minimum wage: Singular national minimum wage | Currency: COG - Central African CFA franc (XAF)",
"Congo","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",197.907,"Type of minimum wage: Singular national minimum wage | Currency: COG - Central African CFA franc (XAF)",
"Cook Islands","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1974,"Type of minimum wage: Singular national minimum wage | Currency: COK - New Zealand dollar (NZD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Colombia","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1300000,"Type of minimum wage: Singular national minimum wage | Currency: COL - Colombian peso (COP)",
"Colombia","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",842.955,"Type of minimum wage: Singular national minimum wage | Currency: COL - Colombian peso (COP)",
"Colombia","ADM - Labour Relations Records","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",319.063,"Type of minimum wage: Singular national minimum wage | Currency: COL - Colombian peso (COP)",
"Comoros","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",55000,"Type of minimum wage: Singular national minimum wage | Currency: COM - Comorian franc (KMF)",
"Comoros","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",217.927,"Type of minimum wage: Singular national minimum wage | Currency: COM - Comorian franc (KMF)",
"Comoros","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",121.006,"Type of minimum wage: Singular national minimum wage | Currency: COM - Comorian franc (KMF)",
"Cabo Verde","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",15000,"Type of minimum wage: Singular national minimum wage | Currency: CPV - Escudo (CVE)",
"Cabo Verde","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",282.15,"Type of minimum wage: Singular national minimum wage | Currency: CPV - Escudo (CVE)",
"Cabo Verde","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",147.171,"Type of minimum wage: Singular national minimum wage | Currency: CPV - Escudo (CVE)",
"Costa Rica","ADM - Minimum wage decrees","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",358609,"Type of minimum wage: Occupational (unskilled workers) | Currency: CRI - Colon (CRC)",
"Costa Rica","ADM - Minimum wage decrees","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1093.165,"Type of minimum wage: Occupational (unskilled workers) | Currency: CRI - Colon (CRC)",
"Costa Rica","ADM - Minimum wage decrees","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",696.18,"Type of minimum wage: Occupational (unskilled workers) | Currency: CRI - Colon (CRC)",
"Cuba","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",2100,"Type of minimum wage: Singular national minimum wage | Central tendency measure: Lowest occupational minimum wage | Working time arrangement coverage: Full-time equivalents | Currency: CUB - Cuban peso (CUP)",
"Cyprus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2025",1000,"Currency: CYP - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Cyprus","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2025",1618.821,"Currency: CYP - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Czechia","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2025",20800,"Type of minimum wage: Singular national minimum wage | Currency: CZE - Koruna (CZK)","Repository: Eurostat | Data reference period: July"
"Germany","ADM - Minimum Wage Act","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2025",2161,"Type of minimum wage: Singular national minimum wage | Currency: DEU - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Germany","ADM - Minimum Wage Act","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2025",2922.451,"Type of minimum wage: Singular national minimum wage | Currency: DEU - Euro (EUR)","Repository: Eurostat | Data reference period: July"
"Dominica","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",1560,"Type of minimum wage: Singular national minimum wage | Currency: DMA - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Dominica","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",1001.336,"Type of minimum wage: Singular national minimum wage | Currency: DMA - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Dominica","ADM - Legislation du Travail","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",577.778,"Type of minimum wage: Singular national minimum wage | Currency: DMA - East Caribbean dollar (XCD) | ILO calculation: Hourly figure multiplied by 48 hours and 4.33 weeks",
"Dominican Republic","ADM-LIR - Administrative Records of the Ministry of Labour","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",19450,"Type of minimum wage: Average of minimum wages based on establishment size | Currency: DOM - Dominican peso (DOP)","Data reference period: End of the year | Institutional sector coverage: Private sector only"
"Dominican Republic","ADM-LIR - Administrative Records of the Ministry of Labour","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",826.282,"Type of minimum wage: Average of minimum wages based on establishment size | Currency: DOM - Dominican peso (DOP)","Data reference period: End of the year | Institutional sector coverage: Private sector only"
"Dominican Republic","ADM-LIR - Administrative Records of the Ministry of Labour","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",326.533,"Type of minimum wage: Average of minimum wages based on establishment size | Currency: DOM - Dominican peso (DOP)","Data reference period: End of the year | Institutional sector coverage: Private sector only"
"Algeria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",20000,"Type of minimum wage: Singular national minimum wage | Currency: DZA - Algerian dinar (DZD)",
"Algeria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: 2021 PPP $","2024",473.228,"Type of minimum wage: Singular national minimum wage | Currency: DZA - Algerian dinar (DZD)",
"Algeria","ADM - Labour legislation","Statutory nominal gross monthly minimum wage by currency","Currency: U.S. dollars","2024",149.195,"Type of minimum wage: Singular national minimum wage | Currency: DZA - Algerian dinar (DZD)",
"Ecuador","ADM - Administrative records of the Ministry of Labour","Statutory nominal gross monthly minimum wage by currency","Currency: Local currency","2024",39.167,"Type of minimum wage: Singular national minimum wage | Currency: ECU - United States dollar (USD)","Institutional sector coverage: Private sector only | Economic activity coverage: Excluding public administration"
